日期,项目方,Chain,项目类型,损失金额($),漏洞类型,attack tx,Analyse,Reference Link
2023.2.2,Orion Protoco,ETH BSC,liquidity aggregator,3m,Reentrancy,https://app.blocksec.com/explorer/tx/eth/0xa6f63fcb6bec8818864d96a5b1bb19e8bd85ee37b2cc916412e720988440b2aa|https://app.blocksec.com/explorer/tx/bsc/0xfb153c572e304093023b4f9694ef39135b6ed5b2515453173e81ec02df2e2104,,
2023.1.3,GDS Token,BSC,,180k,Business Logic Flaw,https://app.blocksec.com/explorer/tx/bsc/0x2bb704e0d158594f7373ec6e53dc9da6c6639f269207da8dab883fc3b5bf6694,,
2023.1.15,Midas Capital,Polygon,,650k,Flawed Price Dependency,https://app.blocksec.com/explorer/tx/polygon/0x0053490215baf541362fc78be0de98e3147f40223238d5b12512b3e26c0a2c2f,,
2023.2.1,BonqDAO,Polygon Polygon Polygon,,120m,Flawed Price Dependency,https://app.blocksec.com/explorer/tx/polygon/0xa02d0c3d16d6ee0e0b6a42c3cc91997c2b40c87d777136dedebe8ee0f47f32b1|https://app.blocksec.com/explorer/tx/polygon/0x31957ecc43774d19f54d9968e95c69c882468b46860f921668f2c55fadd51b19|https://app.blocksec.com/explorer/tx/polygon/0xd276b1ddff1bea52a8839c37976f4accb4751ca3f70092e66f88e53090452898,,
2023.2.9,dForce,Optimism Arbitrum,,3.6m,Flawed Price Dependency,https://app.blocksec.com/explorer/tx/optimism/0x6c19762186c9f32c81eb2a79420fc7ad4485aa916cab37ec278b216757bfba0d|https://app.blocksec.com/explorer/tx/arbitrum/0x5db5c2400ab56db697b3cc9aa02a05deab658e1438ce2f8692ca009cc45171dd,,
2023.2.16,Platypus,Avalanche,,8.5m,Avalanche,https://app.blocksec.com/explorer/tx/avalanche/0x1266a937c2ccd970e5d7929021eed3ec593a95c68a99b4920c2efa226679b430,,
2023.2.17,Dexible,ETH,,1.5m,Arbitrary Call,https://app.blocksec.com/explorer/tx/eth/0x138daa4cbeaa3db42eefcec26e234fc2c89a4aa17d6b1870fc460b2856fd11a6,,
2023.2.24,EFVault,ETH,,5.1m,Storage Collision,https://app.blocksec.com/explorer/tx/eth/0x1fe5a53405d00ce2f3e15b214c7486c69cbc5bf165cf9596e86f797f62e81914,,
2023.2.27,swapX,BSC,,1m,Access Control Issue,https://app.blocksec.com/explorer/tx/bsc/0x3ee23c1585474eaa4f976313cafbc09461abb781d263547c8397788c68a00160,,
2023.3.13,Euler Finance,ETH ETH ETH ETH ETH ETH,,200m,Business Logic Flaw,https://app.blocksec.com/explorer/tx/eth/0x3097830e9921e4063d334acb82f6a79374f76f0b1a8f857e89b89bc58df1f311|https://app.blocksec.com/explorer/tx/eth/0x465a6780145f1efe3ab52f94c006065575712d2003d83d85481f3d110ed131d9|https://app.blocksec.com/explorer/tx/eth/0x62bd3d31a7b75c098ccf28bc4d4af8c4a191b4b9e451fab4232258079e8b18c4|https://app.blocksec.com/explorer/tx/eth/0x71a908be0bef6174bccc3d493becdfd28395d78898e355d451cb52f7bac38617|https://app.blocksec.com/explorer/tx/eth/0x47ac3527d02e6b9631c77fad1cdee7bfa77a8a7bfd4880dccbda5146ace4088f|https://app.blocksec.com/explorer/tx/eth/0xc310a0affe2169d1f6feec1c63dbc7f7c62a887fa48795d327d4d2da2d6b111d,,
2023.3.17,ParaSpace,ETH,,7m,Flawed Price Dependency,https://app.blocksec.com/explorer/tx/eth/0xe3f0d14cfb6076cabdc9057001c3fafe28767a192e88005bc37bd7d385a1116a,,
2023.3.28,SafeMoon,BSC,,8.9m,Access Control Issue,https://app.blocksec.com/explorer/tx/bsc/0x48e52a12cb297354a2a1c54cbc897cf3772328e7e71f51c9889bb8c5e533a934,,
2023.4.1,Allbridge,BSC,,550k,Flawed Price Dependency,https://app.blocksec.com/explorer/tx/bsc/0x7ff1364c3b3b296b411965339ed956da5d17058f3164425ce800d64f1aef8210,,
